"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.768646917E0,6.783647239E-1,9.469693657E-1,2.448499920E0
1.778624917E0,7.730276370E-1,8.323444969E-1,2.988173366E0
1.788602917E0,6.938785565E-1,7.366075965E-1,3.476195433E0
1.798581917E0,9.570892149E-1,5.666840744E-1,3.333852569E0
1.808559917E0,1.751698925E0,2.655451593E-1,2.706643381E0
1.818538917E0,2.610467793E0,-1.226248465E-1,2.223771542E0
1.828516917E0,2.733613079E0,-1.356217086E-1,1.649134085E0
1.838494917E0,2.715689024E0,-4.249568129E-2,1.080314607E0
1.848473917E0,2.856663054E0,6.916890666E-2,7.573915976E-1
1.858451917E0,2.787315077E0,3.066819294E-1,5.013888019E-1
1.868429917E0,2.448791696E0,2.936746885E-1,-3.190240860E-3
1.878408917E0,2.280619926E0,1.572939017E-1,-3.861910522E-1
1.888386917E0,2.194386944E0,7.927552655E-2,-5.051731199E-1
1.898365917E0,1.810905492E0,3.798599795E-2,-3.934293205E-1
1.908343917E0,1.765718209E0,1.567553732E-1,-2.838460672E-1
1.918321917E0,1.642314477E0,7.471513689E-2,-2.994189566E-1
1.928300917E0,1.589862029E0,-9.338061869E-2,6.468423843E-2
1.938278917E0,1.797484962E0,-1.859819497E-1,4.184612507E-1
1.948256917E0,1.915385880E0,-1.928945281E-1,3.669431877E-1
1.958235917E0,1.837297484E0,-2.272801030E-1,4.277571541E-1
1.968213917E0,1.971462432E0,-4.343507668E-1,8.223453927E-1
1.978192917E0,1.802580226E0,-3.961988541E-1,6.478697401E-1
1.988170917E0,1.095582857E0,8.484748453E-2,1.709111899E-1
1.998148917E0,7.401078129E-1,3.484257866E-1,4.538129318E-1
2.008127917E0,5.654169828E-1,3.547903347E-1,1.020205230E0
2.018105917E0,4.104704458E-1,3.816365097E-1,1.277397934E0
2.028084917E0,2.600648564E-1,5.070326807E-1,1.256264343E0
2.038063417E0,2.000268155E-1,6.226337421E-1,1.528740499E0
2.048041417E0,2.022084117E-2,5.811028697E-1,1.612430527E0
2.058020417E0,-4.017633569E-1,6.143836132E-1,1.608590661E0
2.067998417E0,-6.583461964E-1,5.723484184E-1,1.734292349E0
2.077976417E0,-5.421105659E-1,4.593724644E-1,1.731986791E0
2.087955417E0,-1.805813152E-1,4.419378215E-1,1.517468237E0
2.097933417E0,3.173032504E-1,6.750720106E-1,1.157671516E0
2.107912417E0,7.063723022E-1,7.720803881E-1,1.907852912E-1
2.117890417E0,7.972140598E-1,8.124187209E-1,-1.039303991E0
2.127868417E0,7.333583719E-1,7.695247163E-1,-1.280571803E0
2.137847417E0,8.717438400E-1,3.087690930E-1,-1.039780539E0
2.147825417E0,1.467130142E0,-1.346824265E-1,-1.359367127E0
2.157804417E0,1.818710355E0,-1.098704977E-1,-1.872987134E0
2.167782417E0,1.696985943E0,2.318479478E-2,-2.110951270E0
2.177760417E0,2.199440108E0,1.083148460E-1,-2.117155166E0
2.187739417E0,1.596178191E0,4.665588386E-1,-2.497810074E0
2.197717417E0,1.686144036E-1,6.975273652E-1,-2.376141211E0
2.207695417E0,-2.824965298E-2,5.589751053E-1,-1.635985451E0
2.217674417E0,4.535316807E-1,2.188159660E-2,-8.682600689E-1
2.227652417E0,1.071258439E0,-7.416541091E-1,-2.823801702E-1
2.237631417E0,1.378513834E0,-1.306696724E0,-1.015614581E-1
2.247609417E0,1.384087400E0,-1.346395956E0,-4.995831817E-1
2.257587417E0,1.091457061E0,-8.947416700E-1,-9.222292846E-1
2.267566417E0,7.175591952E-1,-3.263559097E-1,-9.436505592E-1
2.277544417E0,6.737781680E-1,-4.118091658E-2,-4.916537726E-1
2.287523417E0,6.831290352E-1,-6.066135406E-2,-5.830276269E-1
2.297501417E0,5.832088906E-1,-3.122316679E-1,-1.260016501E-1
2.307479417E0,2.129579329E-1,-5.066773161E-1,1.036965104E0
2.317458417E0,2.465459769E0,-1.376231666E0,1.042308290E0
2.327436417E0,2.707548530E0,-1.757682673E0,-2.157336062E-1
2.337414417E0,2.865480655E-1,-4.754651713E-1,-7.037702912E-1
2.347393417E0,8.262817383E-2,2.801243144E-1,-1.495877978E0
2.357371417E0,6.808433586E-1,2.047447877E-1,-2.087591059E0
2.367350417E0,6.940171355E-1,-1.706976204E-1,-2.025738042E0
2.377328417E0,9.200114357E-1,-5.822875156E-1,-1.440460407E0
2.387306417E0,1.017465810E0,-8.766356206E-1,-7.975894511E-1
2.397285417E0,9.014178747E-1,-9.498696578E-1,4.634795487E-2
2.407263417E0,6.657744992E-1,-8.030801328E-1,8.359150261E-1
2.417242417E0,2.692221808E-1,-4.581097582E-1,1.652607915E0
2.427220417E0,6.863198608E-1,-4.606090774E-1,1.599722189E0
2.437198417E0,1.104596339E0,-3.859754361E-1,1.682114135E0
2.447177417E0,1.140826857E0,2.625260957E-2,1.551445237E0
2.457155417E0,1.432194782E0,5.051813791E-1,7.683966422E-1
2.467134417E0,1.978874947E0,8.288991713E-1,1.635314190E-1
2.477112417E0,2.042375125E0,9.578633863E-1,-9.772802353E-2
2.487090417E0,2.173918181E0,8.152368595E-1,-2.892763764E-1
