"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.638099542E0,6.220158376E-2,2.283454657E-2,6.055493474E-2
2.648080542E0,5.474155985E-2,9.975843262E-3,-3.336830556E-2
2.658061542E0,3.169549026E-2,1.543423735E-2,-1.596079373E-1
2.668041542E0,2.510977127E-2,1.822920643E-2,-1.871676189E-1
2.678022542E0,3.168364964E-2,8.316275552E-3,-9.387061536E-2
2.688003542E0,3.827565439E-2,7.119789049E-3,5.843648851E-2
2.697984542E0,8.915542066E-3,4.595801868E-3,1.876850975E-1
2.707965542E0,-5.760530680E-2,1.058833910E-2,2.439206940E-1
2.717946542E0,-9.753440760E-2,-6.724298000E-4,2.271947336E-1
2.727927542E0,-1.043937032E-1,9.612895623E-3,1.593436432E-1
2.737908542E0,-9.446688518E-2,1.791225079E-2,6.800487220E-2
2.747889542E0,-9.191062868E-2,2.213697374E-2,2.812159896E-2
2.757870542E0,-6.170267008E-2,2.746172240E-2,-9.039795399E-3
2.767851542E0,-1.111921147E-2,1.314613050E-2,-1.230137229E-2
2.777832542E0,3.973095328E-2,-3.992168214E-3,-1.004434705E-2
2.787813542E0,7.880160972E-2,-4.127670128E-2,-9.168434143E-3
2.797793542E0,1.112817963E-1,-6.061693350E-2,1.010457337E-2
2.807774542E0,1.042801210E-1,-4.447889239E-2,4.128368139E-2
2.817755542E0,7.801932536E-2,-3.579298144E-2,6.632028937E-2
2.827736542E0,4.111550085E-2,-9.618413933E-3,6.937136650E-2
2.837717542E0,8.687427565E-3,1.122003939E-2,7.142373919E-2
2.847698542E0,-2.375833355E-2,2.469443623E-2,7.232245624E-2
2.857679542E0,-2.923958659E-2,3.461807482E-2,6.161328077E-2
2.867660542E0,-3.157057911E-2,3.865005892E-2,3.910500884E-2
2.877641542E0,-1.866131566E-2,3.862354545E-2,4.968437612E-2
2.887622542E0,-7.940518856E-3,2.659209525E-2,7.059343457E-2
2.897603542E0,6.266607195E-3,2.707790751E-3,8.966529787E-2
2.907584542E0,2.924090222E-2,-1.232962165E-2,6.539175153E-2
2.917565542E0,5.685306251E-2,-3.973617923E-2,4.126146197E-2
2.927545542E0,4.274153844E-2,-3.425538300E-2,-2.313567817E-2
2.937526542E0,2.172496431E-2,-9.855993614E-3,-7.012331843E-2
2.947507542E0,-2.750384063E-4,6.840273868E-3,-7.547702909E-2
2.957487250E0,-3.281749785E-4,3.258243978E-2,-4.088314712E-2
2.967468250E0,-2.068452537E-4,3.910139088E-2,4.005518138E-2
