"Time (ms)","Recording (a.u.)"
7.896132429E0,1.023062132E-2
7.916966552E0,4.942022264E-3
7.937800674E0,-5.125215743E-3
7.958634797E0,-1.154695451E-2
7.979468919E0,-9.748554789E-3
8.000303042E0,-5.069552921E-3
8.021137164E0,-2.752836095E-3
8.041971287E0,-3.381059971E-3
8.062805409E0,-5.232609808E-3
8.083639532E0,-6.012833677E-3
8.104473654E0,-5.615459755E-3
8.125307777E0,-8.518266492E-3
8.146141899E0,-1.615487039E-2
8.166976022E0,-2.200493775E-2
8.187810144E0,-2.190491557E-2
8.208644267E0,-1.753540523E-2
8.229478389E0,-1.503494661E-2
8.250312512E0,-1.728923246E-2
8.271146634E0,-1.953241229E-2
8.291980757E0,-1.766458713E-2
8.312814879E0,-1.063545793E-2
8.333649002E0,-3.799720667E-3
8.354483124E0,-5.502698943E-3
8.375317247E0,-1.799953729E-2
8.396151369E0,-3.675966710E-2
8.416985492E0,-5.065488070E-2
8.437819614E0,-5.357620120E-2
8.458653737E0,-5.239681900E-2
8.479487859E0,-5.273814872E-2
8.500321982E0,-5.214434117E-2
8.521156104E0,-4.895711690E-2
8.541990227E0,-4.719632864E-2
8.562824349E0,-4.963889718E-2
8.583658472E0,-5.036634207E-2
8.604492594E0,-4.591833055E-2
8.625326717E0,-4.319927096E-2
8.646160839E0,-4.616219550E-2
8.666994962E0,-4.898740351E-2
8.687829084E0,-4.491470754E-2
8.708663207E0,-3.577860445E-2
8.729497329E0,-2.659657039E-2
8.750331452E0,-1.654453948E-2
8.771165574E0,-6.806383375E-3
8.791999697E0,-2.819651971E-3
8.812833819E0,-4.842814524E-3
8.833667942E0,-4.771607462E-3
8.854502064E0,5.809783470E-3
8.875336187E0,2.163169347E-2
8.896170309E0,2.957090363E-2
8.917004432E0,2.582991309E-2
8.937838554E0,1.759099774E-2
8.958672677E0,1.580932178E-2
8.979506799E0,2.290846966E-2
9.000340922E0,3.013444133E-2
9.021175045E0,2.712170035E-2
