"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.909106750E0,5.433700562E-2,-1.601669312E-1,9.816735992E0
5.929064750E0,6.735992432E-2,-1.597178650E-1,9.817933502E0
5.949022750E0,5.673202515E-2,-1.546284485E-1,9.823471985E0
5.968980750E0,5.134323120E-2,-1.573228455E-1,9.820777588E0
5.988938750E0,5.463638306E-2,-1.555265808E-1,9.808952179E0
6.008896750E0,5.733078003E-2,-1.570234680E-1,9.827962646E0
6.028854750E0,5.583389282E-2,-1.532812500E-1,9.826465759E0
6.048812750E0,6.271957397E-2,-1.555265808E-1,9.808203735E0
6.068771750E0,5.927673340E-2,-1.669029236E-1,9.822274475E0
6.088729750E0,5.388793945E-2,-1.553768921E-1,9.827363892E0
6.108687750E0,5.598358154E-2,-1.673519897E-1,9.824220428E0
6.128645750E0,6.421646118E-2,-1.496887207E-1,9.822573853E0
6.148603750E0,6.526428223E-2,-1.619631958E-1,9.832153931E0
6.168561750E0,6.062393188E-2,-1.573228455E-1,9.815688171E0
6.188519750E0,6.301895142E-2,-1.510359192E-1,9.824370117E0
6.208477750E0,4.805007935E-2,-1.526824951E-1,9.826316071E0
6.228435750E0,6.676116943E-2,-1.577719116E-1,9.815538483E0
6.248393750E0,5.209167480E-2,-1.558259583E-1,9.826016693E0
6.268352250E0,5.658233643E-2,-1.645079041E-1,9.814340973E0
6.288310250E0,6.137237549E-2,-1.610650635E-1,9.825867004E0
6.308268250E0,5.014572144E-2,-1.582209778E-1,9.831255798E0
6.328227250E0,6.256988525E-2,-1.601669312E-1,9.818083191E0
6.348185250E0,5.508544922E-2,-1.517843628E-1,9.819280701E0
6.368143250E0,5.807922363E-2,-1.451980591E-1,9.813742218E0
6.388101250E0,6.481521606E-2,-1.600172424E-1,9.826016693E0
6.408059250E0,6.122268677E-2,-1.556762695E-1,9.818083191E0
6.428017250E0,6.511459351E-2,-1.637594604E-1,9.827812958E0
6.447975250E0,5.478607178E-2,-1.483415222E-1,9.820328522E0
6.467933250E0,6.107299805E-2,-1.561253357E-1,9.829908600E0
6.487891250E0,5.463638306E-2,-1.508862305E-1,9.827064514E0
6.507849250E0,6.346801758E-2,-1.580712891E-1,9.818083191E0
6.527807250E0,6.376739502E-2,-1.570234680E-1,9.817185059E0
6.547766250E0,5.313949585E-2,-1.573228455E-1,9.831704865E0
6.567724250E0,5.957611084E-2,-1.630110168E-1,9.827513580E0
6.587682250E0,5.523513794E-2,-1.576222229E-1,9.815239105E0
6.607640250E0,5.942642212E-2,-1.562750244E-1,9.822124786E0
6.627598250E0,5.987548828E-2,-1.600172424E-1,9.822274475E0
6.647556250E0,5.822891235E-2,-1.600172424E-1,9.820328522E0
6.667514250E0,5.822891235E-2,-1.601669312E-1,9.825867004E0
6.687472250E0,6.182144165E-2,-1.553768921E-1,9.823621674E0
6.707430250E0,6.541397095E-2,-1.601669312E-1,9.823621674E0
6.727388250E0,4.894821167E-2,-1.610650635E-1,9.812395020E0
6.747346250E0,6.242019653E-2,-1.553768921E-1,9.830806732E0
6.767305250E0,6.077362061E-2,-1.616638184E-1,9.826765137E0
6.787263250E0,6.331832886E-2,-1.651066589E-1,9.814490662E0
6.807221250E0,5.269042969E-2,-1.606159973E-1,9.817334747E0
6.827179250E0,5.807922363E-2,-1.447489929E-1,9.822274475E0
6.847137250E0,6.077362061E-2,-1.550775146E-1,9.815837860E0
6.867095250E0,5.164260864E-2,-1.502874756E-1,9.820328522E0
6.887053250E0,5.313949585E-2,-1.514849854E-1,9.831704865E0
6.907011250E0,5.912704468E-2,-1.534309387E-1,9.815089417E0
6.926969250E0,5.763015747E-2,-1.538800049E-1,9.826166382E0
6.946927250E0,6.182144165E-2,-1.571731567E-1,9.819580078E0
6.966885250E0,6.646179199E-2,-1.564247131E-1,9.818681946E0
6.986844250E0,6.047424316E-2,-1.609153748E-1,9.816436615E0
7.006802250E0,6.301895142E-2,-1.600172424E-1,9.826166382E0
7.026760250E0,6.122268677E-2,-1.487905884E-1,9.816436615E0
7.046718250E0,5.643264771E-2,-1.496887207E-1,9.826316071E0
7.066676250E0,6.511459351E-2,-1.618135071E-1,9.824819183E0
7.086634250E0,5.298980713E-2,-1.591191101E-1,9.823022919E0
7.106592250E0,6.346801758E-2,-1.625619507E-1,9.821076965E0
7.126550250E0,5.403762817E-2,-1.561253357E-1,9.824519806E0
7.146508250E0,6.316864014E-2,-1.661544800E-1,9.823172607E0
7.166466250E0,6.212081909E-2,-1.511856079E-1,9.822274475E0
7.186425250E0,6.167175293E-2,-1.526824951E-1,9.830058289E0
7.206383250E0,5.837860107E-2,-1.582209778E-1,9.823022919E0
7.226341250E0,5.029541016E-2,-1.574725342E-1,9.823172607E0
7.246299250E0,6.152206421E-2,-1.582209778E-1,9.825717316E0
7.266256500E0,6.077362061E-2,-1.552272034E-1,9.831405487E0
7.286214500E0,6.017486572E-2,-1.598675537E-1,9.829160156E0
7.306172500E0,5.553451538E-2,-1.589694214E-1,9.835297394E0
7.326130500E0,6.421646118E-2,-1.547781372E-1,9.813742218E0
7.346088500E0,6.227050781E-2,-1.501377869E-1,9.825867004E0
7.366047500E0,5.343887329E-2,-1.552272034E-1,9.822573853E0
7.386005500E0,6.526428223E-2,-1.592687988E-1,9.818981323E0
7.405963500E0,6.182144165E-2,-1.583706665E-1,9.820927277E0
7.425921500E0,6.511459351E-2,-1.541793823E-1,9.833501129E0
7.445879500E0,5.912704468E-2,-1.463955688E-1,9.819280701E0
7.465837500E0,5.448669434E-2,-1.550775146E-1,9.830956421E0
7.485795500E0,6.496490479E-2,-1.634600830E-1,9.828860779E0
7.505753500E0,5.448669434E-2,-1.531315613E-1,9.812395020E0
7.525711500E0,5.867797852E-2,-1.534309387E-1,9.829309845E0
7.545670500E0,5.718109131E-2,-1.606159973E-1,9.820627899E0
7.565628500E0,5.493576050E-2,-1.607656860E-1,9.829010468E0
7.585586500E0,6.945556641E-2,-1.573228455E-1,9.817035370E0
7.605544500E0,5.703140259E-2,-1.546284485E-1,9.827214203E0
7.625502500E0,6.346801758E-2,-1.618135071E-1,9.830357666E0
7.645460500E0,6.765930176E-2,-1.510359192E-1,9.820777588E0
7.665418500E0,5.957611084E-2,-1.477427673E-1,9.834399261E0
7.685376500E0,5.777984619E-2,-1.547781372E-1,9.825867004E0
7.705334500E0,6.421646118E-2,-1.559756470E-1,9.830806732E0
7.725293500E0,6.107299805E-2,-1.540296936E-1,9.831704865E0
7.745251500E0,5.239105225E-2,-1.526824951E-1,9.823771362E0
7.765209500E0,6.062393188E-2,-1.598675537E-1,9.829459534E0
